iter	Passed	Remaining
0	2	2996
1	5	2834
2	8	2711
3	11	2923
4	14	2795
5	16	2683
6	18	2642
7	21	2628
8	23	2624
9	27	2763
10	30	2726
11	32	2693
12	35	2659
13	37	2662
14	40	2654
15	42	2619
16	44	2571
17	46	2542
18	48	2529
19	51	2519
20	53	2486
21	56	2515
22	58	2501
23	61	2482
24	63	2468
25	65	2445
26	67	2429
27	71	2467
28	73	2467
29	76	2460
30	78	2448
31	80	2437
32	83	2456
33	86	2462
34	88	2451
35	91	2444
36	93	2433
37	95	2424
38	98	2416
39	101	2432
40	103	2424
41	105	2412
42	107	2402
43	110	2393
44	112	2383
45	114	2373
46	117	2380
47	119	2371
48	121	2365
49	124	2362
50	126	2356
51	128	2347
52	132	2370
53	135	2365
54	137	2364
55	139	2356
56	142	2365
57	145	2363
58	148	2361
59	150	2352
60	152	2348
61	155	2353
62	157	2349
63	160	2348
64	162	2343
65	165	2338
66	167	2337
67	170	2337
68	172	2333
69	175	2336
70	178	2329
71	180	2329
72	183	2326
73	185	2322
74	188	2322
75	191	2325
76	194	2326
77	196	2323
78	198	2319
79	201	2318
80	204	2321
81	207	2319
82	208	2303
83	211	2301
84	213	2295
85	215	2291
86	219	2303
87	222	2301
88	224	2296
89	227	2297
90	229	2294
91	232	2299
92	236	2304
93	239	2304
94	241	2304
95	244	2301
96	246	2298
97	249	2293
98	251	2289
99	255	2295
100	257	2291
101	259	2287
102	262	2282
103	264	2278
104	267	2277
105	270	2278
106	272	2275
107	275	2271
108	277	2268
109	280	2268
110	283	2269
111	285	2266
112	288	2262
113	291	2261
114	293	2259
115	295	2254
116	298	2250
117	300	2249
118	303	2245
119	305	2239
120	308	2239
121	310	2234
122	314	2239
123	317	2239
124	320	2240
125	323	2246
126	326	2241
127	329	2243
128	332	2242
129	334	2239
130	337	2240
131	340	2236
132	342	2234
133	345	2235
134	348	2233
135	351	2234
136	354	2232
137	357	2232
138	360	2231
139	363	2235
140	366	2232
141	368	2224
142	370	2222
143	374	2226
144	377	2225
145	380	2223
146	382	2222
147	385	2220
148	388	2218
149	391	2218
150	394	2215
151	396	2213
152	399	2212
153	402	2209
154	405	2209
155	408	2208
156	410	2206
157	413	2205
158	416	2203
159	419	2204
160	421	2196
161	424	2193
162	427	2193
163	429	2190
164	432	2187
165	435	2188
166	438	2185
167	440	2181
168	444	2185
169	448	2188
170	452	2192
171	454	2189
172	457	2186
173	460	2186
174	464	2188
175	467	2190
176	470	2189
177	473	2187
178	477	2189
179	481	2195
180	485	2196
181	488	2197
182	492	2197
183	500	2221
184	504	2223
185	507	2221
186	512	2227
187	516	2230
188	520	2233
189	523	2232
190	529	2242
191	534	2250
192	538	2251
